3668

(-0.007999, -0.025126, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.003999, -0.012562, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.000001, 0.000004, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.004001, 0.012570, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.008001, 0.025134, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.012001, 0.037694, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.016001, 0.050248, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.020001, 0.062795, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.024001, 0.075331, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.028001, 0.087855, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.032001, 0.100366, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.036001, 0.112861, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.040001, 0.125337, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.044001, 0.137794, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.048001, 0.150230, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.052001, 0.162641, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.056001, 0.175027, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.060001, 0.187385, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.064001, 0.199714, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.068001, 0.212011, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.072001, 0.224275, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.076001, 0.236503, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.080001, 0.248694, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.084001, 0.260846, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.088001, 0.272956, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.092001, 0.285023, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
